Country Name,Country Code,Año,Balanza_comercial,Desempleo,Exportaciones bienes y servicios,Exportaciones mercaderías,Exportaciones servicios comerciales,Importaciones bienes y servicios,Importaciones mercaderías,Importaciones servicios comerciales,Importaciones minerales y metales,Importaciones productos manufacturados,Exportaciones productos manufacturados,Exportaciones metales y minerales,Exportaciones combustibles,Importaciones combustibles,PIB
México,MEX,2002,-12299152444,3.002599955,1.74E+11,1.61E+11,12279521088,1.86E+11,1.73E+11,17148664503,3.59E+11,1.49E+13,1.35E+13,1.86E+11,1.43E+12,4.67E+11,7.72E+11
México,MEX,2003,-10829244601,3.455300093,1.78E+11,1.65E+11,12296797046,1.88E+11,1.75E+11,17707754393,3.77E+11,1.50E+13,1.35E+13,2.04E+11,1.86E+12,5.96E+11,7.29E+11
México,MEX,2004,-12481021088,3.936500072,2.22E+11,1.88E+11,13632234466,2.35E+11,2.02E+11,19998558085,5.27E+11,1.71E+13,1.50E+13,3.09E+11,2.33E+12,7.86E+11,7.82E+11
México,MEX,2005,-14070670496,3.557899952,2.67E+11,2.14E+11,15697133812,2.81E+11,2.28E+11,22261514228,5.93E+11,1.90E+13,1.65E+13,3.92E+11,3.19E+12,1.26E+12,8.77E+11
México,MEX,2006,-14068992220,3.565999985,2.67E+11,2.50E+11,15917962230,2.81E+11,2.63E+11,23540554166,8.50E+11,2.18E+13,1.90E+13,5.96E+11,3.88E+12,1.50E+12,9.75E+11
México,MEX,2007,-18325416720,3.627599955,2.90E+11,2.72E+11,17425136208,3.08E+11,2.90E+11,25290123872,8.87E+11,2.22E+13,1.96E+13,7.49E+11,4.29E+12,2.01E+12,1.05E+12
México,MEX,2008,-26351576323,3.87409997,3.07E+11,2.91E+11,17831453534,3.34E+11,3.18E+11,26312681758,9.52E+11,2.47E+13,2.14E+13,7.76E+11,5.06E+12,3.02E+12,1.11E+12
México,MEX,2009,-14920691753,5.356400013,2.44E+11,2.30E+11,14994222673,2.59E+11,2.42E+11,24911879901,5.59E+11,1.94E+13,1.75E+13,5.83E+11,3.10E+12,1.63E+12,9.00E+11
México,MEX,2010,-14438870608,5.303299904,3.14E+11,2.98E+11,15384725499,3.29E+11,3.10E+11,26711777072,8.45E+11,2.47E+13,2.27E+13,8.93E+11,4.19E+12,2.49E+12,1.06E+12
México,MEX,2011,-16482747096,5.169799805,3.66E+11,3.50E+11,15710538380,3.83E+11,3.61E+11,31213449503,1.09E+12,2.76E+13,2.53E+13,1.39E+12,5.70E+12,3.63E+12,1.18E+12
México,MEX,2012,-14846796993,4.887000084,3.88E+11,3.71E+11,16263761315,4.02E+11,3.80E+11,31089067086,1.01E+12,2.98E+13,2.76E+13,1.41E+12,5.33E+12,3.43E+12,1.20E+12
México,MEX,2013,-14701602255,4.913899899,3.99E+11,3.80E+11,17965301462,4.14E+11,3.91E+11,31940195391,9.06E+11,3.09E+13,2.90E+13,1.18E+12,4.95E+12,3.38E+12,1.27E+12
México,MEX,2014,-15492006846,4.809400082,4.19E+11,3.97E+11,21038914382,4.35E+11,4.12E+11,34242514903,8.84E+11,3.23E+13,3.06E+13,9.27E+11,4.21E+12,3.14E+12,1.31E+12
México,MEX,2015,-23875453266,4.312699795,4.05E+11,3.81E+11,22733469382,4.28E+11,4.05E+11,32437476560,8.64E+11,3.26E+13,3.09E+13,7.64E+11,2.28E+12,2.62E+12,1.17E+12
México,MEX,2016,-21281422624,3.858999968,4.00E+11,3.74E+11,24072381462,4.21E+11,3.98E+11,32941760796,8.23E+11,3.19E+13,3.05E+13,8.14E+11,1.83E+12,2.52E+12,1.08E+12
México,MEX,2017,-21006630914,3.41960001,4.36E+11,4.09E+11,27411483414,4.57E+11,4.32E+11,37104060798,9.31E+11,3.38E+13,3.30E+13,9.35E+11,2.31E+12,3.62E+12,1.16E+12
México,MEX,2018,-22823537359,3.282900095,4.80E+11,4.51E+11,28826067276,5.02E+11,4.77E+11,39946212574,1.20E+12,3.64E+13,3.61E+13,1.04E+12,3.00E+12,4.76E+12,1.22E+12
Francia,FRA,2000,18100239543,10.21720028,3.90E+11,3.28E+11,96164682221,3.71E+11,3.39E+11,83513994989,1.01E+12,2.62E+13,2.65E+13,6.33E+11,9.23E+11,3.39E+12,1.36E+12
Francia,FRA,2001,21643847875,8.6104002,3.89E+11,3.23E+11,99925529106,3.67E+11,3.29E+11,86273525391,9.10E+11,2.55E+13,2.64E+13,6.03E+11,8.36E+11,3.16E+12,1.38E+12
Francia,FRA,2002,29737436477,8.701700211,4.11E+11,3.32E+11,1.12E+11,3.82E+11,3.29E+11,94058148812,8.29E+11,2.56E+13,2.70E+13,5.83E+11,8.15E+11,3.06E+12,1.49E+12
Francia,FRA,2003,26247178330,8.306500435,4.81E+11,3.92E+11,1.25E+11,4.54E+11,3.99E+11,1.09E+11,9.55E+11,3.08E+13,3.17E+13,6.67E+11,1.03E+12,3.89E+12,1.84E+12
Francia,FRA,2004,21425378694,8.913599968,5.60E+11,4.52E+11,1.42E+11,5.39E+11,4.71E+11,1.25E+11,1.24E+12,3.61E+13,3.66E+13,9.56E+11,1.29E+12,5.15E+12,2.12E+12
Francia,FRA,2005,1875388633,8.493499756,5.94E+11,4.63E+11,1.52E+11,5.92E+11,5.04E+11,1.33E+11,1.33E+12,3.76E+13,3.71E+13,9.86E+11,1.90E+12,6.83E+12,2.20E+12
Francia,FRA,2006,-5409609836,8.447799683,6.48E+11,4.96E+11,1.65E+11,6.53E+11,5.42E+11,1.45E+11,1.88E+12,3.95E+13,3.94E+13,1.41E+12,2.13E+12,8.05E+12,2.32E+12
Francia,FRA,2007,-18978921434,7.656700134,7.40E+11,5.60E+11,1.96E+11,7.59E+11,6.31E+11,1.68E+11,2.22E+12,4.66E+13,4.43E+13,1.62E+12,2.14E+12,8.55E+12,2.66E+12
Francia,FRA,2008,-33804013476,7.063399792,8.21E+11,6.16E+11,2.23E+11,8.54E+11,7.17E+11,1.94E+11,2.22E+12,5.05E+13,4.78E+13,1.61E+12,3.12E+12,1.22E+13,2.92E+12
Francia,FRA,2009,-21289247013,8.736300468,6.68E+11,4.85E+11,1.93E+11,6.89E+11,5.61E+11,1.75E+11,1.22E+12,4.14E+13,3.81E+13,9.51E+11,1.73E+12,7.57E+12,2.69E+12
Francia,FRA,2010,-34121147267,8.871299744,7.08E+11,5.24E+11,2.01E+11,7.42E+11,6.11E+11,1.81E+11,1.72E+12,4.48E+13,4.11E+13,1.29E+12,1.92E+12,8.54E+12,2.64E+12
Francia,FRA,2011,-55737411799,8.81099987,8.13E+11,5.96E+11,2.36E+11,8.69E+11,7.20E+11,2.02E+11,2.12E+12,5.13E+13,4.56E+13,1.57E+12,2.73E+12,1.17E+13,2.86E+12
Francia,FRA,2012,-34782503609,9.40019989,7.84E+11,5.69E+11,2.33E+11,8.19E+11,6.74E+11,2.02E+11,1.81E+12,4.73E+13,4.38E+13,1.36E+12,2.53E+12,1.18E+13,2.68E+12
Francia,FRA,2013,-29082829404,9.920599937,8.25E+11,5.81E+11,2.53E+11,8.55E+11,6.81E+11,2.28E+11,1.77E+12,4.80E+13,4.49E+13,1.31E+12,2.28E+12,1.13E+13,2.81E+12
Francia,FRA,2014,-32669491637,10.29220009,8.46E+11,5.81E+11,2.72E+11,8.79E+11,6.77E+11,2.52E+11,1.73E+12,4.89E+13,4.52E+13,1.29E+12,2.27E+12,9.94E+12,2.85E+12
Francia,FRA,2015,-13811208594,10.35400009,7.46E+11,5.06E+11,2.55E+11,7.60E+11,5.71E+11,2.33E+11,1.41E+12,4.35E+13,3.99E+13,1.04E+12,1.54E+12,6.08E+12,2.44E+12
Francia,FRA,2016,-14952958776,10.03880024,7.48E+11,5.01E+11,2.58E+11,7.62E+11,5.68E+11,2.37E+11,1.27E+12,4.44E+13,4.00E+13,9.64E+11,1.20E+12,4.77E+12,2.47E+12
Francia,FRA,2017,-27627482852,9.404899597,8.03E+11,5.35E+11,2.74E+11,8.31E+11,6.19E+11,2.47E+11,1.38E+12,4.77E+13,4.30E+13,1.11E+12,1.48E+12,6.08E+12,2.60E+12
Francia,FRA,2018,-29018414215,9.016500473,8.84E+11,5.82E+11,3.02E+11,9.13E+11,6.76E+11,2.73E+11,1.57E+12,5.12E+13,4.67E+13,1.20E+12,1.89E+12,7.63E+12,2.79E+12
Brasil,BRA,2000,-14836530036,9.7,66774569992,55119000000,7899295504,81611100027,58643000000,15178554702,1.82E+11,4.30E+12,3.22E+12,5.41E+11,90579819329,8.75E+11,6.55E+11
Brasil,BRA,2001,-12266271491,9.6104002,69203919565,58287000000,7713098824,81470191055,58382000000,15389287627,1.72E+11,4.43E+12,3.17E+12,4.86E+11,2.09E+11,8.16E+11,5.59E+11
Brasil,BRA,2002,4281225392,9.370900154,72286060357,60439000000,7831806576,68004834965,49723000000,13062298499,1.42E+11,3.68E+12,3.18E+12,5.15E+11,2.95E+11,7.39E+11,5.08E+11
Brasil,BRA,2003,12401305460,9.991000175,84757339584,73203000000,8700674217,72356034124,50881000000,13869985451,1.70E+11,3.68E+12,3.79E+12,5.97E+11,3.80E+11,7.91E+11,5.58E+11
Brasil,BRA,2004,22845588205,9.105199814,1.11E+11,96678000000,10775143552,87897949128,66433000000,15498024026,2.62E+11,4.73E+12,5.16E+12,8.29E+11,4.42E+11,1.22E+12,6.69E+11
Brasil,BRA,2005,30323123686,9.567700386,1.36E+11,1.19E+11,13784037163,1.06E+11,77628000000,21523928333,3.05E+11,5.57E+12,6.28E+12,1.14E+12,7.09E+11,1.43E+12,8.92E+11
Brasil,BRA,2006,29983077415,8.639499664,1.59E+11,1.38E+11,16978311407,1.29E+11,95838000000,26182544158,4.86E+11,6.72E+12,7.00E+12,1.49E+12,1.06E+12,1.80E+12,1.11E+12
Brasil,BRA,2007,19038611011,8.327300072,1.86E+11,1.61E+11,22614703578,1.67E+11,1.27E+11,34699657001,6.20E+11,8.08E+12,7.69E+12,1.78E+12,1.33E+12,2.35E+12,1.40E+12
Brasil,BRA,2008,-3214747410,7.342599869,2.30E+11,1.98E+11,28822057537,2.33E+11,1.82E+11,44396187713,7.73E+11,1.28E+13,8.88E+12,2.40E+12,1.87E+12,3.62E+12,1.70E+12
Brasil,BRA,2009,-6721979494,8.522100449,1.81E+11,1.53E+11,26245160400,1.88E+11,1.34E+11,44074762600,3.88E+11,1.01E+13,6.04E+12,1.79E+12,1.38E+12,1.98E+12,1.67E+12
Brasil,BRA,2010,-22994542974,7.8,2.40E+11,2.02E+11,29144439692,2.63E+11,1.92E+11,57812593166,6.65E+11,1.42E+13,7.38E+12,3.51E+12,2.00E+12,3.14E+12,2.21E+12
Brasil,BRA,2011,-20128527021,6.916999817,3.03E+11,2.56E+11,35208048917,3.23E+11,2.37E+11,70984162410,8.12E+11,1.70E+13,8.74E+12,4.94E+12,2.70E+12,4.41E+12,2.62E+12
Brasil,BRA,2012,-33506220880,7.18569994,2.93E+11,2.43E+11,37073651315,3.26E+11,2.33E+11,75831783180,6.91E+11,1.71E+13,8.50E+12,3.78E+12,2.67E+12,4.20E+12,2.47E+12
Brasil,BRA,2013,-56912017068,6.976399899,2.90E+11,2.42E+11,36342259363,3.47E+11,2.51E+11,81053227152,6.73E+11,1.81E+13,8.79E+12,3.96E+12,1.80E+12,4.80E+12,2.47E+12
Brasil,BRA,2014,-65366765831,6.661200047,2.70E+11,2.25E+11,39046701889,3.36E+11,2.39E+11,85915546868,6.79E+11,1.71E+13,7.83E+12,3.24E+12,2.08E+12,4.71E+12,2.46E+12
Brasil,BRA,2015,-20784213532,8.426699638,2.32E+11,1.91E+11,33019275847,2.53E+11,1.79E+11,68889690406,6.03E+11,1.36E+13,7.28E+12,2.06E+12,1.39E+12,2.61E+12,1.80E+12
Brasil,BRA,2016,7176696360,11.59990025,2.24E+11,1.85E+11,32567703439,2.17E+11,1.43E+11,61450574392,4.54E+11,1.11E+13,7.38E+12,1.94E+12,1.18E+12,1.58E+12,1.80E+12
Brasil,BRA,2017,14820141631,12.82240009,2.58E+11,2.18E+11,33676596773,2.44E+11,1.58E+11,70369731834,5.25E+11,1.17E+13,8.19E+12,2.58E+12,1.89E+12,2.26E+12,2.06E+12
Brasil,BRA,2018,7195326236,12.33380032,2.81E+11,2.39E+11,34643501063,2.74E+11,1.89E+11,68930996159,6.69E+11,1.40E+13,8.65E+12,2.70E+12,2.99E+12,2.85E+12,1.89E+12
Argentina,ARG,2000,-1846455600,15,31223690400,26341000000,4739520315,33070146000,25154000000,8920103787,53713730373,2.19E+12,8.55E+11,78087668203,4.67E+11,94592641341,2.84E+11
Argentina,ARG,2001,3508536600,17.31999969,31112418400,26543000000,4431053077,27603881800,20320000000,8209442433,45634753267,1.75E+12,8.64E+11,81367648473,4.55E+11,81598841239,2.69E+11
Argentina,ARG,2002,14670786469,19.59000015,27736610298,25650000000,3353200000,13065823829,8990000000,4683920000,31178023581,7.54E+11,7.84E+11,99657398490,4.38E+11,44174949198,97724004252
Argentina,ARG,2003,14311606659,15.35999966,33084505278,29566000000,4304820000,18772898619,13834000000,5359410000,40753651467,1.19E+12,7.91E+11,89295615576,5.06E+11,49914702324,1.28E+11
Argentina,ARG,2004,11530324282,13.52210045,39266996606,34576000000,5082380000,27736672324,22445000000,6266940000,60629045953,1.95E+12,9.90E+11,1.36E+11,5.53E+11,94761741219,1.65E+11
Argentina,ARG,2005,11805942344,11.50590038,46198180131,40351000000,6342850000,34392237787,28689000000,7235090000,87605309578,2.49E+12,1.24E+12,1.30E+11,6.61E+11,1.45E+11,1.99E+11
Argentina,ARG,2006,13069507212,10.07750034,53550250227,46546000000,7786962532,40480743016,34152000000,8392832520,1.17E+11,2.97E+12,1.50E+12,1.99E+11,7.17E+11,1.63E+11,2.33E+11
Argentina,ARG,2007,12594785133,8.470000267,65162321195,55779000000,9915456721,52567536062,44706000000,10720518520,1.29E+11,3.82E+12,1.75E+12,2.15E+11,6.13E+11,2.73E+11,2.88E+11
Argentina,ARG,2008,13446803975,7.83739996,79762958392,70018000000,11272813244,66316154417,57462000000,13279802098,1.87E+11,4.79E+12,2.18E+12,2.27E+11,6.61E+11,4.16E+11,3.62E+11
Argentina,ARG,2009,16864736859,8.645299911,65133480388,55672000000,10409000073,48268743530,38786000000,12171214813,79890262083,3.33E+12,1.81E+12,2.13E+11,5.76E+11,2.47E+11,3.33E+11
Argentina,ARG,2010,12270934023,7.713900089,80208867996,68187000000,12631416302,67937933972,56793000000,14265070011,1.63E+11,4.81E+12,2.26E+12,3.02E+11,5.54E+11,4.51E+11,4.24E+11
Argentina,ARG,2011,8971758595,7.179500103,97810932629,84051000000,14295746454,88839174035,74319000000,17297523312,2.32E+11,5.93E+12,2.74E+12,3.41E+11,5.14E+11,9.47E+11,5.30E+11
Argentina,ARG,2012,10642160447,7.216599941,88655850854,79982000000,14047685905,78013690407,67974000000,17921330454,1.58E+11,5.45E+12,2.57E+12,3.34E+11,5.10E+11,8.78E+11,5.46E+11
Argentina,ARG,2013,-549718918.5,7.099599838,80690471898,75963000000,13487139927,81240190817,74442000000,18625835884,1.76E+11,5.76E+12,2.46E+12,2.48E+11,3.62E+11,1.21E+12,5.52E+11
Argentina,ARG,2014,2127192191,7.26760006,75818867911,68405000000,13189837805,73691675720,65735000000,17628881981,1.85E+11,5.01E+12,2.20E+12,2.29E+11,3.25E+11,1.09E+12,5.26E+11
Argentina,ARG,2015,-6393090843,7.4,63671789069,56784000000,13005539727,70064879912,60205000000,18700914750,1.44E+11,4.95E+12,1.67E+12,1.63E+11,1.48E+11,6.63E+11,5.95E+11
Argentina,ARG,2016,-5796639841,7.9,69842486096,57910000000,13242351882,75639125937,55852000000,21625551251,1.05E+11,4.71E+12,1.54E+12,1.93E+11,1.49E+11,4.73E+11,5.58E+11
Argentina,ARG,2017,-17596301454,8.347399712,72256505014,58644000000,15274100120,89852806469,66937000000,24964987632,1.36E+11,5.62E+12,1.69E+12,1.95E+11,1.68E+11,5.50E+11,6.43E+11
Argentina,ARG,2018,-11122187439,9.220499992,74240343947,61781000000,15056548681,85362531386,65482000000,24013820508,1.55E+11,5.20E+12,1.26E+12,30379214116,2.65E+11,6.31E+11,5.20E+11
Rusia,RUS,2000,52012086740,10.58100033,1.14E+11,1.05E+11,11300380000,62417348027,44862000000,16340000000,1.56E+11,2.63E+12,2.48E+12,9.76E+11,5.31E+12,1.85E+11,2.60E+11
Rusia,RUS,2001,38865272540,8.977999687,1.13E+11,1.02E+11,12493680000,74250942749,53764000000,20041820000,1.38E+11,3.39E+12,2.36E+12,8.12E+11,5.28E+12,1.30E+11,3.07E+11
Rusia,RUS,2002,37240829346,7.875,1.22E+11,1.07E+11,14956750000,84408293461,60966000000,23314680000,1.35E+11,3.91E+12,2.45E+12,7.93E+11,5.63E+12,1.39E+11,3.45E+11
Rusia,RUS,2003,48937833963,8.210000038,1.52E+11,1.36E+11,18284900000,1.03E+11,76070000000,26952340000,1.66E+11,5.01E+12,2.95E+12,9.41E+11,7.41E+12,1.80E+11,4.30E+11
Rusia,RUS,2004,72422769872,7.763000011,2.03E+11,1.83E+11,22843780000,1.31E+11,97382000000,33182220000,2.44E+11,6.68E+12,4.10E+12,1.41E+12,1.00E+13,1.94E+11,5.91E+11
Rusia,RUS,2005,1.05E+11,7.124000072,2.69E+11,2.44E+11,28615810000,1.64E+11,1.25E+11,39520900000,2.55E+11,9.15E+12,4.57E+12,1.62E+12,1.51E+13,2.20E+11,7.64E+11
Rusia,RUS,2006,1.26E+11,7.054999828,3.34E+11,3.04E+11,35481960000,2.08E+11,1.64E+11,45236760000,2.72E+11,1.24E+13,5.00E+12,2.49E+12,1.91E+13,2.42E+11,9.90E+11
Rusia,RUS,2007,1.12E+11,6.001999855,3.92E+11,3.54E+11,43563020000,2.80E+11,2.23E+11,59200930000,3.53E+11,1.74E+13,6.01E+12,2.95E+12,2.18E+13,3.15E+11,1.30E+12
Rusia,RUS,2008,1.53E+11,6.204999924,5.20E+11,4.72E+11,56531200000,3.67E+11,2.92E+11,75704160000,5.29E+11,2.30E+13,7.89E+12,2.63E+12,3.10E+13,4.86E+11,1.66E+12
Rusia,RUS,2009,90978689620,8.300999641,3.42E+11,3.03E+11,45356810000,2.51E+11,1.92E+11,61208690000,3.05E+11,1.47E+13,5.22E+12,1.74E+12,2.02E+13,3.23E+11,1.22E+12
Rusia,RUS,2010,1.23E+11,7.368800163,4.46E+11,4.01E+11,48644230000,3.22E+11,2.49E+11,73225610000,2.13E+11,1.85E+13,5.65E+12,2.23E+12,2.63E+13,3.45E+11,1.52E+12
Rusia,RUS,2011,1.65E+11,6.53550005,5.74E+11,5.22E+11,57344710000,4.09E+11,3.24E+11,89388110000,2.98E+11,2.43E+13,6.89E+12,2.54E+12,3.50E+13,5.72E+11,2.05E+12
Rusia,RUS,2012,1.47E+11,5.436299801,5.94E+11,5.29E+11,61464800000,4.47E+11,3.35E+11,1.07E+11,5.71E+11,2.79E+13,8.63E+12,2.80E+12,3.75E+13,4.88E+11,2.21E+12
Rusia,RUS,2013,1.24E+11,5.457699776,5.92E+11,5.22E+11,69110930000,4.69E+11,3.41E+11,1.26E+11,5.75E+11,2.81E+13,8.65E+12,2.46E+12,3.72E+13,4.53E+11,2.29E+12
Rusia,RUS,2014,1.32E+11,5.160099983,5.58E+11,4.97E+11,64817970000,4.26E+11,3.08E+11,1.19E+11,5.71E+11,2.52E+13,8.63E+12,2.36E+12,3.47E+13,4.87E+11,2.06E+12
Rusia,RUS,2015,1.10E+11,5.570899963,3.91E+11,3.41E+11,50809020000,2.82E+11,1.93E+11,87233930000,3.32E+11,1.56E+13,7.01E+12,2.07E+12,2.15E+13,3.54E+11,1.36E+12
Rusia,RUS,2016,66276047298,5.55880022,3.30E+11,2.82E+11,49818860000,2.64E+11,1.91E+11,73094710000,2.80E+11,1.62E+13,6.49E+12,1.74E+12,1.36E+13,1.72E+11,1.28E+12
Rusia,RUS,2017,83515018134,5.212299824,4.11E+11,3.53E+11,56658870000,3.27E+11,2.38E+11,87439810000,3.83E+11,2.03E+13,8.05E+12,2.11E+12,1.73E+13,2.00E+11,1.57E+12
Rusia,RUS,2018,1.65E+11,4.845900059,5.10E+11,4.44E+11,63623720000,3.44E+11,2.49E+11,93411700000,4.56E+11,2.07E+13,9.15E+12,2.46E+12,2.31E+13,2.31E+11,1.67E+12
España,ESP,2000,-17641422517,13.78520012,1.70E+11,1.15E+11,52724545554,1.88E+11,1.56E+11,32354408268,4.93E+11,1.14E+13,8.96E+12,2.58E+11,4.11E+11,1.90E+12,5.97E+11
España,ESP,2001,-14263982103,10.34790039,1.75E+11,1.17E+11,55874369949,1.89E+11,1.55E+11,34254169624,4.78E+11,1.13E+13,9.05E+12,2.51E+11,3.23E+11,1.74E+12,6.27E+11
España,ESP,2002,-14045736872,11.14610004,1.87E+11,1.26E+11,60516796373,2.01E+11,1.65E+11,37753395512,4.75E+11,1.21E+13,9.76E+12,2.52E+11,3.21E+11,1.79E+12,7.05E+11
España,ESP,2003,-19974040632,11.28339958,2.32E+11,1.56E+11,74368262645,2.52E+11,2.09E+11,46138290964,5.92E+11,1.55E+13,1.21E+13,3.04E+11,4.56E+11,2.17E+12,9.05E+11
España,ESP,2004,-39484728085,11.09020042,2.71E+11,1.83E+11,84868222717,3.11E+11,2.58E+11,54412727857,8.18E+11,1.91E+13,1.41E+13,3.57E+11,6.55E+11,2.90E+12,1.07E+12
España,ESP,2005,-55401069519,9.146300316,2.88E+11,1.93E+11,92856757566,3.43E+11,2.89E+11,59789285629,9.46E+11,2.07E+13,1.48E+13,4.64E+11,8.04E+11,4.06E+12,1.15E+12
España,ESP,2006,-71713712207,8.452199936,3.18E+11,2.14E+11,1.05E+11,3.90E+11,3.29E+11,67854760674,1.40E+12,2.29E+13,1.62E+13,6.72E+11,9.50E+11,5.17E+12,1.26E+12
España,ESP,2007,-85061593211,8.232099533,3.83E+11,2.53E+11,1.21E+11,4.68E+11,3.89E+11,77305814260,1.69E+12,2.73E+13,1.92E+13,7.78E+11,1.14E+12,5.82E+12,1.47E+12
España,ESP,2008,-76962062399,11.25450039,4.16E+11,2.81E+11,1.34E+11,4.93E+11,4.21E+11,81513053467,1.64E+12,2.77E+13,2.06E+13,7.77E+11,1.79E+12,8.18E+12,1.63E+12
España,ESP,2009,-12946651848,17.8567009,3.43E+11,2.27E+11,1.14E+11,3.56E+11,2.93E+11,68899135266,9.00E+11,1.98E+13,1.66E+13,6.19E+11,1.00E+12,4.84E+12,1.49E+12
España,ESP,2010,-14560722472,19.85969925,3.69E+11,2.54E+11,1.14E+11,3.83E+11,3.27E+11,65463888581,1.29E+12,2.14E+13,1.85E+13,8.78E+11,1.26E+12,6.04E+12,1.42E+12
España,ESP,2011,4092553693,21.39049911,4.37E+11,3.07E+11,1.33E+11,4.33E+11,3.77E+11,69001213273,1.64E+12,2.32E+13,2.15E+13,1.16E+12,2.23E+12,8.08E+12,1.48E+12
España,ESP,2012,27359854895,24.78720093,4.17E+11,2.95E+11,1.25E+11,3.89E+11,3.37E+11,61914833182,1.34E+12,1.98E+13,2.00E+13,1.09E+12,2.16E+12,8.27E+12,1.32E+12
España,ESP,2013,53226463895,26.09359932,4.47E+11,3.18E+11,1.30E+11,3.93E+11,3.41E+11,60143323596,1.34E+12,2.07E+13,2.20E+13,1.05E+12,2.16E+12,7.80E+12,1.35E+12
España,ESP,2014,42444865841,24.44129944,4.59E+11,3.25E+11,1.38E+11,4.16E+11,3.59E+11,66748972285,1.36E+12,2.27E+13,2.25E+13,1.08E+12,2.17E+12,7.51E+12,1.37E+12
España,ESP,2015,36336354868,22.05730057,4.02E+11,2.82E+11,1.21E+11,3.66E+11,3.12E+11,62179775990,1.13E+12,2.17E+13,2.01E+13,9.52E+11,1.37E+12,4.37E+12,1.20E+12
España,ESP,2016,49129728068,19.63470078,4.17E+11,2.90E+11,1.31E+11,3.68E+11,3.11E+11,65514992357,1.09E+12,2.24E+13,2.10E+13,9.01E+11,1.11E+12,3.48E+12,1.23E+12
España,ESP,2017,46978921405,17.22360039,4.62E+11,3.20E+11,1.45E+11,4.15E+11,3.52E+11,72302235551,1.39E+12,2.45E+13,2.25E+13,1.18E+12,1.72E+12,4.75E+12,1.31E+12
España,ESP,2018,38526278973,15.25469971,4.99E+11,3.47E+11,1.55E+11,4.60E+11,3.91E+11,82454857706,1.54E+12,2.58E+13,2.36E+13,1.29E+12,2.13E+12,5.66E+12,1.42E+12
