Country Name,Country Code,Año,Balanza_comercial,Desempleo,Exportaciones bienes y servicios,Exportaciones mercaderías,Exportaciones servicios comerciales,Importaciones bienes y servicios,Importaciones mercaderías,Importaciones servicios comerciales,Importaciones minerales y metales,Importaciones productos manufacturados,Exportaciones productos manufacturados,Exportaciones metales y minerales,Exportaciones combustibles,Importaciones combustibles,PIB
Alemania,DEU,2008,2.27E+11,7.524499893,1.63E+12,1.45E+12,2.39E+11,1.41E+12,1.19E+12,2.87E+11,5.78E+12,8.14E+13,4.60E+13,1.74E+12,1.45E+12,1.65E+13,3.73E+12
Alemania,DEU,2009,1.70E+11,7.741600037,1.30E+12,1.12E+12,2.22E+11,1.12E+12,9.26E+11,2.50E+11,3.37E+12,6.58E+13,4.64E+13,1.43E+12,1.15E+12,1.06E+13,3.40E+12
Alemania,DEU,2010,1.79E+11,6.966400146,1.45E+12,1.26E+12,2.26E+11,1.27E+12,1.05E+12,2.63E+11,5.17E+12,7.47E+13,4.65E+13,1.68E+12,1.12E+12,1.22E+13,3.40E+12
Alemania,DEU,2011,1.84E+11,5.824399948,1.69E+12,1.47E+12,2.51E+11,1.50E+12,1.25E+12,2.97E+11,6.61E+12,8.60E+13,4.63E+13,1.85E+12,1.31E+12,1.69E+13,3.74E+12
Alemania,DEU,2012,2.15E+11,5.379399776,1.63E+12,1.40E+12,2.51E+11,1.42E+12,1.15E+12,2.94E+11,5.56E+12,7.85E+13,4.62E+13,1.71E+12,1.37E+12,1.65E+13,3.53E+12
Alemania,DEU,2013,2.15E+11,5.23059988,1.70E+12,1.45E+12,2.71E+11,1.48E+12,1.18E+12,3.27E+11,5.37E+12,8.03E+13,4.62E+13,1.55E+12,1.36E+12,1.67E+13,3.73E+12
Alemania,DEU,2014,2.57E+11,4.98059988,1.77E+12,1.49E+12,2.98E+11,1.51E+12,1.21E+12,3.36E+11,5.27E+12,8.46E+13,4.62E+13,1.50E+12,1.27E+12,1.46E+13,3.88E+12
Alemania,DEU,2015,2.54E+11,4.624199867,1.57E+12,1.33E+12,2.76E+11,1.32E+12,1.05E+12,3.00E+11,4.34E+12,7.67E+13,4.65E+13,1.38E+12,1.22E+12,9.72E+12,3.36E+12
Alemania,DEU,2016,2.55E+11,4.121799946,1.60E+12,1.33E+12,2.88E+11,1.34E+12,1.06E+12,3.15E+11,4.00E+12,7.84E+13,4.69E+13,1.30E+12,9.62E+11,7.60E+12,3.47E+12
Alemania,DEU,2017,2.60E+11,3.745500088,1.74E+12,1.45E+12,3.15E+11,1.48E+12,1.16E+12,3.46E+11,4.69E+12,8.62E+13,4.72E+13,1.35E+12,9.84E+11,8.95E+12,3.67E+12
Alemania,DEU,2018,2.43E+11,3.383500099,1.87E+12,1.56E+12,3.43E+11,1.63E+12,1.28E+12,3.71E+11,5.15E+12,9.40E+13,4.72E+13,1.38E+12,1.14E+12,1.14E+13,3.95E+12
Japón,JPN,2000,69858164255,4.699999809,5.19E+11,4.79E+11,68487248766,4.49E+11,3.80E+11,1.17E+11,2.12E+12,2.15E+13,4.50E+13,6.15E+11,1.74E+11,7.73E+12,4.89E+12
Japón,JPN,2001,28406411973,5,4.40E+11,4.03E+11,63869496124,4.12E+11,3.49E+11,1.10E+11,1.77E+12,2.00E+13,3.75E+13,5.75E+11,1.71E+11,7.03E+12,4.30E+12
Japón,JPN,2002,55588254059,5.400000095,4.53E+11,4.17E+11,65140600157,3.98E+11,3.37E+11,1.10E+11,1.62E+12,1.96E+13,3.88E+13,5.73E+11,1.63E+11,6.55E+12,4.12E+12
Japón,JPN,2003,75374244718,5.300000191,5.17E+11,4.72E+11,76146293530,4.42E+11,3.83E+11,1.12E+11,1.90E+12,2.20E+13,4.39E+13,6.60E+11,1.77E+11,8.09E+12,4.45E+12
Japón,JPN,2004,97348257281,4.699999809,6.25E+11,5.66E+11,95131548910,5.27E+11,4.55E+11,1.35E+11,2.62E+12,2.59E+13,5.25E+13,9.19E+11,2.49E+11,9.89E+12,4.82E+12
Japón,JPN,2005,71777619304,4.400000095,6.66E+11,5.95E+11,99626361969,5.95E+11,5.16E+11,1.37E+11,3.14E+12,2.80E+13,5.47E+13,1.09E+12,4.62E+11,1.32E+13,4.76E+12
Japón,JPN,2006,64060574741,4.099999905,7.19E+11,6.47E+11,1.07E+11,6.55E+11,5.79E+11,1.40E+11,4.48E+12,3.01E+13,5.89E+13,1.51E+12,5.94E+11,1.61E+13,4.53E+12
Japón,JPN,2007,85462427868,3.900000095,7.90E+11,7.14E+11,1.20E+11,7.04E+11,6.22E+11,1.57E+11,5.54E+12,3.18E+13,6.44E+13,1.82E+12,9.21E+11,1.72E+13,4.52E+12
Japón,JPN,2008,22622980955,4,8.78E+11,7.81E+11,1.39E+11,8.55E+11,7.63E+11,1.77E+11,6.04E+12,3.44E+13,6.97E+13,2.00E+12,1.86E+12,2.68E+13,5.04E+12
Japón,JPN,2009,28821172575,5.099999905,6.55E+11,5.81E+11,1.18E+11,6.26E+11,5.52E+11,1.54E+11,3.51E+12,2.88E+13,5.11E+13,1.61E+12,1.07E+12,1.52E+13,5.23E+12
Japón,JPN,2010,83250289431,5.099999905,8.57E+11,7.70E+11,1.32E+11,7.74E+11,6.94E+11,1.63E+11,5.71E+12,3.51E+13,6.85E+13,2.07E+12,1.34E+12,1.99E+13,5.70E+12
Japón,JPN,2011,-33435655229,4.520999908,9.19E+11,8.23E+11,1.38E+11,9.52E+11,8.55E+11,1.74E+11,6.91E+12,4.06E+13,7.33E+13,2.22E+12,1.66E+12,2.74E+13,6.16E+12
Japón,JPN,2012,-95940046463,4.300000191,9.02E+11,7.99E+11,1.34E+11,9.98E+11,8.86E+11,1.83E+11,5.89E+12,4.21E+13,7.15E+13,2.28E+12,1.37E+12,3.02E+13,6.20E+12
Japón,JPN,2013,-1.19E+11,4,8.21E+11,7.15E+11,1.33E+11,9.40E+11,8.33E+11,1.69E+11,5.38E+12,4.03E+13,6.31E+13,2.07E+12,1.66E+12,2.82E+13,5.16E+12
Japón,JPN,2014,-1.20E+11,3.599999905,8.51E+11,6.90E+11,1.59E+11,9.70E+11,8.12E+11,1.91E+11,5.28E+12,4.07E+13,6.09E+13,1.90E+12,1.52E+12,2.62E+13,4.85E+12
Japón,JPN,2015,-18394959912,3.400000095,7.73E+11,6.25E+11,1.58E+11,7.91E+11,6.48E+11,1.77E+11,4.14E+12,3.88E+13,5.50E+13,1.59E+12,1.11E+12,1.33E+13,4.39E+12
Japón,JPN,2016,48781675989,3.099999905,8.01E+11,6.45E+11,1.71E+11,7.52E+11,6.08E+11,1.84E+11,3.57E+12,3.79E+13,5.71E+13,1.54E+12,9.12E+11,1.11E+13,4.92E+12
Japón,JPN,2017,45274803528,2.799999952,8.64E+11,6.98E+11,1.82E+11,8.19E+11,6.72E+11,1.91E+11,4.15E+12,4.01E+13,6.15E+13,1.66E+12,1.05E+12,1.42E+13,4.87E+12
Japón,JPN,2018,11560072873,2.400000095,9.18E+11,7.38E+11,1.90E+11,9.06E+11,7.48E+11,2.01E+11,4.71E+12,4.35E+13,6.49E+13,1.81E+12,1.24E+12,1.75E+13,4.95E+12
Reino Unido,GBR,2000,-28748676048,5.561600208,4.18E+11,2.83E+11,1.32E+11,4.47E+11,3.40E+11,1.05E+11,9.45E+11,2.60E+13,2.14E+13,6.50E+11,2.36E+12,1.38E+12,1.66E+12
Reino Unido,GBR,2001,-36100475025,4.695499897,4.11E+11,2.75E+11,1.35E+11,4.47E+11,3.41E+11,1.07E+11,9.47E+11,2.56E+13,2.09E+13,6.30E+11,2.22E+12,1.43E+12,1.64E+12
Reino Unido,GBR,2002,-45963729017,5.036900043,4.30E+11,2.81E+11,1.48E+11,4.76E+11,3.60E+11,1.19E+11,8.35E+11,2.82E+13,2.20E+13,5.96E+11,2.28E+12,1.48E+12,1.78E+12
Reino Unido,GBR,2003,-45216326531,4.80700016,4.90E+11,3.09E+11,1.80E+11,5.35E+11,3.95E+11,1.38E+11,8.81E+11,3.06E+13,2.39E+13,7.04E+11,2.53E+12,1.76E+12,2.05E+12
Reino Unido,GBR,2004,-61596484804,4.594200134,5.73E+11,3.50E+11,2.19E+11,6.35E+11,4.70E+11,1.65E+11,1.09E+12,3.61E+13,2.67E+13,9.82E+11,3.06E+12,2.83E+12,2.42E+12
Reino Unido,GBR,2005,-60992727273,4.750299931,6.34E+11,3.93E+11,2.43E+11,6.95E+11,5.22E+11,1.78E+11,1.26E+12,3.88E+13,2.97E+13,1.15E+12,3.68E+12,4.44E+12,2.54E+12
Reino Unido,GBR,2006,-55735050598,5.349699974,7.35E+11,4.54E+11,2.81E+11,7.91E+11,6.16E+11,1.93E+11,1.96E+12,4.42E+13,3.49E+13,1.44E+12,4.31E+12,5.84E+12,2.71E+12
Reino Unido,GBR,2007,-61382553021,5.262000084,7.83E+11,4.47E+11,3.33E+11,8.44E+11,6.45E+11,2.16E+11,2.25E+12,4.64E+13,3.26E+13,1.84E+12,4.59E+12,5.51E+12,3.10E+12
Reino Unido,GBR,2008,-62875000000,5.614999771,7.89E+11,4.77E+11,3.23E+11,8.52E+11,6.69E+11,2.18E+11,2.33E+12,4.47E+13,3.25E+13,2.09E+12,6.15E+12,8.00E+12,2.92E+12
Reino Unido,GBR,2009,-38711637327,7.53730011,6.36E+11,3.58E+11,2.79E+11,6.75E+11,5.23E+11,1.84E+11,1.57E+12,3.02E+13,2.38E+13,1.12E+12,3.96E+12,4.80E+12,2.41E+12
Reino Unido,GBR,2010,-49414432366,7.786600113,7.00E+11,4.20E+11,2.86E+11,7.49E+11,5.92E+11,1.85E+11,2.42E+12,3.90E+13,2.88E+13,1.63E+12,5.23E+12,6.04E+12,2.48E+12
Reino Unido,GBR,2011,-24061876968,8.037699699,8.16E+11,5.10E+11,3.30E+11,8.40E+11,6.81E+11,1.97E+11,2.98E+12,4.35E+13,3.23E+13,2.29E+12,6.45E+12,8.78E+12,2.66E+12
Reino Unido,GBR,2012,-31706967023,7.884600163,8.11E+11,4.79E+11,3.36E+11,8.43E+11,7.03E+11,1.99E+11,2.90E+12,4.28E+13,3.18E+13,1.84E+12,6.67E+12,9.88E+12,2.70E+12
Reino Unido,GBR,2013,-35567300528,7.524199963,8.34E+11,5.47E+11,3.60E+11,8.70E+11,6.62E+11,2.09E+11,2.45E+12,4.45E+13,3.75E+13,2.14E+12,7.31E+12,9.17E+12,2.79E+12
Reino Unido,GBR,2014,-42718009542,6.109600067,8.73E+11,5.11E+11,3.88E+11,9.16E+11,6.94E+11,2.30E+11,2.18E+12,5.00E+13,3.77E+13,1.99E+12,6.01E+12,8.42E+12,3.06E+12
Reino Unido,GBR,2015,-40421942938,5.300300121,8.10E+11,4.66E+11,3.69E+11,8.50E+11,6.30E+11,2.29E+11,1.75E+12,4.79E+13,3.63E+13,1.75E+12,3.57E+12,5.26E+12,2.93E+12
Reino Unido,GBR,2016,-43642311537,4.809700012,7.66E+11,4.11E+11,3.60E+11,8.10E+11,6.37E+11,2.22E+11,1.76E+12,4.90E+13,3.25E+13,1.47E+12,2.68E+12,4.41E+12,2.69E+12
Reino Unido,GBR,2017,-32338373206,4.329999924,8.10E+11,4.41E+11,3.72E+11,8.42E+11,6.41E+11,2.28E+11,1.92E+12,4.80E+13,3.39E+13,1.70E+12,3.64E+12,5.50E+12,2.67E+12
Reino Unido,GBR,2018,-39738166604,3.995899916,8.76E+11,4.86E+11,4.05E+11,9.16E+11,6.72E+11,2.58E+11,1.91E+12,4.92E+13,3.60E+13,1.95E+12,4.84E+12,7.02E+12,2.86E+12
